ordine_data,revenue,google_search_spent,google_performance_max_spent,fb_retargeting_spent,fb_prospecting_spent,google_organico,Sconti
2021-01-19,10614.22,242.61,0.0,0.0,0.0,0,3
2021-01-20,10591.22,271.14,0.0,0.0,0.0,0,4
2021-01-21,7773.48,269.87,0.0,0.0,0.0,0,0
2021-01-22,6896.5,199.1,0.0,0.0,0.0,0,2
2021-01-23,3638.73,187.14,0.0,0.0,0.0,0,2
2021-01-24,7210.31,203.63,0.0,0.0,0.0,0,0
2021-01-25,12841.71,293.59,0.0,0.0,0.0,0,3
2021-01-26,11035.27,282.15,0.0,0.0,0.0,0,0
2021-01-27,9257.14,248.97,0.0,0.0,0.0,0,0
2021-01-28,8310.58,231.69,0.0,0.0,0.0,0,2
2021-01-29,5242.23,183.72,0.0,0.0,0.0,0,1
2021-01-30,3078.7,254.74,0.0,0.0,0.0,0,2
2021-01-31,7000.02,227.38,0.0,0.0,0.0,0,3
2021-02-01,10958.5,148.74,0.0,0.0,0.0,0,3
2021-02-02,9515.14,131.94,0.0,0.0,0.0,0,3
2021-02-03,8375.77,116.63,0.0,0.0,0.0,0,3
2021-02-04,7375.2,105.51,0.0,0.0,0.0,0,2
2021-02-05,5032.41,80.01,0.0,0.0,0.0,0,3
2021-02-06,3348.6,52.86,0.0,0.0,0.0,0,0
2021-02-07,5246.46,109.4,0.0,0.0,0.0,0,1
2021-02-08,10680.19,217.2,0.0,0.0,0.0,0,7
2021-02-09,10257.97,166.83,0.0,0.0,0.0,0,5
2021-02-10,9782.81,127.8,0.0,0.0,0.0,0,5
2021-02-11,7749.87,113.72,0.0,0.0,0.0,0,4
2021-02-12,4958.66,97.74,0.0,0.0,0.0,0,2
2021-02-13,2650.18,130.19,0.0,0.0,0.0,0,0
2021-02-14,5317.0,124.38,0.0,0.0,0.0,0,2
2021-02-15,8920.22,143.19,0.0,0.0,0.0,0,7
2021-02-16,8313.24,131.46,0.0,0.0,0.0,0,4
2021-02-17,8269.02,112.48,0.0,0.0,0.0,0,3
2021-02-18,6995.35,103.25,0.0,0.0,0.0,0,3
2021-02-19,5035.38,91.58,0.0,0.0,0.0,0,3
2021-02-20,3640.27,91.74,0.0,0.0,0.0,0,0
2021-02-21,5051.32,131.57,0.0,0.0,0.0,0,1
2021-02-22,9413.98,175.84,0.0,0.0,0.0,0,3
2021-02-23,9809.25,136.39,0.0,0.0,0.0,0,2
2021-02-24,7694.96,138.46,0.0,0.0,0.0,0,1
2021-02-25,7561.84,150.34,0.0,0.0,0.0,0,0
2021-02-26,4864.11,91.64,0.0,0.0,0.0,0,0
2021-02-27,2436.23,78.01,0.0,0.0,0.0,0,2
2021-02-28,5270.82,80.33,0.0,0.0,0.0,0,0
2021-03-01,10124.88,144.97,0.0,0.0,0.0,0,1
2021-03-02,8839.89,132.42,0.0,0.0,0.0,0,0
2021-03-03,8021.19,132.3,0.0,0.0,0.0,0,1
2021-03-04,7834.87,127.1,0.0,0.0,0.0,0,3
2021-03-05,5165.24,96.14,0.0,0.0,0.0,0,1
2021-03-06,3279.65,70.18,0.0,0.0,0.0,0,1
2021-03-07,6084.18,77.99,0.0,0.0,0.0,0,1
2021-03-08,9544.51,178.28,0.0,0.0,0.0,0,1
2021-03-09,175.26,152.84,0.0,0.0,0.0,0,0
2021-03-12,32.8,0.0,0.0,0.0,0.0,0,0
2021-03-15,5395.53,88.99,0.0,0.0,0.0,0,0
2021-03-16,9390.58,177.05,0.0,0.0,0.0,0,0
2021-03-17,8271.69,123.16,0.0,0.0,0.0,0,0
2021-03-18,7141.71,123.99,0.0,0.0,0.0,0,0
2021-03-19,4189.48,90.2,0.0,0.0,0.0,0,1
2021-03-20,3349.58,64.07,0.0,0.0,0.0,0,0
2021-03-21,5614.71,91.07,0.0,0.0,0.0,0,0
2021-03-22,10497.97,188.36,0.0,0.0,0.0,0,0
2021-03-23,8304.91,167.16,0.0,0.0,0.0,0,2
2021-03-24,7319.71,151.04,0.0,0.0,0.0,0,0
2021-03-25,7411.32,140.51,0.0,0.0,0.0,0,1
2021-03-26,4993.64,102.57,0.0,0.0,0.0,0,0
2021-03-27,3637.75,81.53,0.0,0.0,0.0,0,0
2021-03-28,6448.24,80.62,0.0,0.0,0.0,0,1
2021-03-29,10272.9,140.28,0.0,0.0,0.0,0,2
2021-03-30,8996.32,116.82,0.0,0.0,0.0,0,2
